Round,GCN_FedMH,GCN_FedMH_incremental,GCN_FedAvg,GCN_FedAvg_incremental,GCN_FedSem_FT,GCN_FedSem_FT_incremental,GCN_FedMatch_FT,GCN_FedMatch_FT_incremental,GCN_FLwF,GCN_FLwF_incremental
1,0.0666666666666666,0.1,0.0666666666666666,0.6428571428571428,0.0666666666666666,0.6428571428571428,0.3665158371040724,0.0476190476190476,0.0666666666666666,0.7575757575757575
2,0.0666666666666666,0.1,0.0666666666666666,0.6428571428571428,0.0666666666666666,0.6428571428571428,0.3665158371040724,0.0476190476190476,0.0666666666666666,0.7575757575757575
3,0.0666666666666666,0.1,0.0666666666666666,1.0,0.2666666666666666,0.6428571428571428,0.3665158371040724,0.0476190476190476,0.0666666666666666,0.7575757575757575
4,0.0666666666666666,0.1,0.0666666666666666,0.6428571428571428,0.2666666666666666,0.6428571428571428,0.3665158371040724,0.0476190476190476,0.0666666666666666,0.7575757575757575
5,0.0666666666666666,0.1,0.0666666666666666,0.6428571428571428,0.2666666666666666,0.6428571428571428,0.3665158371040724,0.0476190476190476,0.0666666666666666,1.0
6,0.0666666666666666,0.1,0.0666666666666666,1.0,0.2666666666666666,0.6428571428571428,0.3665158371040724,0.0476190476190476,0.0666666666666666,0.9047619047619048
7,0.0666666666666666,0.1,0.0666666666666666,0.6428571428571428,0.2666666666666666,0.6428571428571428,0.3665158371040724,0.0476190476190476,0.4,1.0
8,0.0666666666666666,0.1,0.0666666666666666,0.6428571428571428,0.2666666666666666,0.6428571428571428,0.3665158371040724,0.0476190476190476,0.4,0.7575757575757575
9,0.0666666666666666,0.1,0.0666666666666666,1.0,0.2666666666666666,0.6428571428571428,0.485751633986928,0.0476190476190476,0.4,1.0
10,0.4,0.1,0.0666666666666666,0.6428571428571428,0.2666666666666666,0.6428571428571428,0.5852941176470587,0.0476190476190476,0.4,1.0
11,0.7111111111111111,0.3333333333333333,0.7111111111111111,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.4473173884938591,0.1,0.7111111111111111,0.6428571428571428
12,0.4,0.3333333333333333,0.4,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.4668730650154798,0.1,0.6333333333333333,0.6428571428571428
13,0.6,0.3333333333333333,0.4571428571428572,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.5193277310924369,0.1,0.7111111111111111,0.6428571428571428
14,0.4,0.3333333333333333,0.4571428571428572,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.6470588235294118,0.1,0.4571428571428572,0.6428571428571428
15,0.6,0.3333333333333333,0.6,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.5853457172342622,0.1,0.4571428571428572,0.6428571428571428
16,0.6333333333333333,0.3333333333333333,0.4571428571428572,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.7058823529411765,0.1,0.4571428571428572,0.7999999999999999
17,0.4571428571428572,0.3333333333333333,0.4571428571428572,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.6470588235294118,0.1,0.4571428571428572,0.6428571428571428
18,0.6333333333333333,0.3333333333333333,0.4571428571428572,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.7058823529411765,0.1,0.4571428571428572,0.9105263157894737
19,0.6333333333333333,0.3333333333333333,0.4571428571428572,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.8198142414860682,0.1,0.4571428571428572,0.6428571428571428
20,0.6333333333333333,0.3333333333333333,0.4571428571428572,0.3333333333333333,0.0666666666666666,0.3333333333333333,0.8198142414860682,0.1,0.6333333333333333,1.0
21,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.5084033613445379,0.0,1.0,1.0
22,0.0,0.1,1.0,0.6428571428571428,0.8571428571428571,0.6428571428571428,0.6280734516028632,0.0,1.0,1.0
23,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.7239819004524887,0.0,1.0,1.0
24,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.7239819004524887,0.0,1.0,1.0
25,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.8047058823529412,0.0,1.0,1.0
26,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.9420383538030596,0.0,1.0,1.0
27,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,1.0,0.0,1.0,1.0
28,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.9420383538030596,0.0,1.0,1.0
29,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.8848739495798319,0.0,1.0,1.0
30,0.0,0.1,1.0,0.6428571428571428,1.0,0.6428571428571428,0.8047058823529412,0.0,1.0,1.0
31,,0.1,,0.6428571428571428,,0.6428571428571428,0.4974358974358974,0.0476190476190476,,0.7575757575757575
32,,0.1,,0.6428571428571428,,0.6428571428571428,0.7083333333333333,0.0476190476190476,,0.9047619047619048
33,,0.1,,0.6428571428571428,,0.6428571428571428,0.7754010695187166,0.0476190476190476,,1.0
34,,0.1,,0.6428571428571428,,0.6428571428571428,0.9282051282051282,0.0476190476190476,,1.0
35,,0.1,,0.6428571428571428,,0.6428571428571428,0.9282051282051282,0.0476190476190476,,1.0
36,,0.1,,0.6428571428571428,,0.6428571428571428,1.0,0.0476190476190476,,1.0
37,,0.1,,0.6428571428571428,,0.6428571428571428,0.3333333333333333,0.0476190476190476,,1.0
38,,0.1,,0.6428571428571428,,0.6428571428571428,0.3333333333333333,0.0476190476190476,,1.0
39,,0.1,,0.6428571428571428,,0.6428571428571428,0.3333333333333333,0.0476190476190476,,1.0
40,,0.1,,0.6428571428571428,,0.6428571428571428,0.3333333333333333,0.0476190476190476,,1.0
41,,0.1,,0.6428571428571428,,0.6428571428571428,,0.0128205128205128,,0.8333333333333334
42,,0.1,,0.6428571428571428,,0.6428571428571428,,0.0128205128205128,,0.8333333333333334
43,,0.1,,0.6428571428571428,,0.6428571428571428,,0.0128205128205128,,0.9285714285714285
44,,0.1,,0.6428571428571428,,0.6428571428571428,,0.0128205128205128,,1.0
45,,0.1,,0.6428571428571428,,0.6428571428571428,,0.0128205128205128,,1.0
46,,0.1,,0.6428571428571428,,0.6428571428571428,,0.0128205128205128,,1.0
47,,0.1,,0.6428571428571428,,0.6428571428571428,,0.0128205128205128,,1.0
48,,0.1,,0.6428571428571428,,0.6428571428571428,,0.0128205128205128,,1.0
49,,0.1,,0.6428571428571428,,0.6428571428571428,,0.0128205128205128,,1.0
50,,0.1,,0.6428571428571428,,0.6428571428571428,,0.0128205128205128,,1.0
51,,0.5333333333333333,,0.6666666666666666,,0.6666666666666666,,0.1,,0.6428571428571428
52,,0.5333333333333333,,0.1666666666666666,,0.6666666666666666,,0.1,,0.6428571428571428
53,,0.5333333333333333,,0.1666666666666666,,0.6666666666666666,,0.1,,0.6428571428571428
54,,0.5333333333333333,,0.1666666666666666,,0.6666666666666666,,0.1,,0.6428571428571428
55,,0.5333333333333333,,0.1666666666666666,,0.6666666666666666,,0.1,,0.6428571428571428
56,,0.5333333333333333,,0.1666666666666666,,0.6666666666666666,,0.1,,0.6428571428571428
57,,0.5333333333333333,,0.1666666666666666,,0.1666666666666666,,0.1,,0.6428571428571428
58,,0.5333333333333333,,0.1666666666666666,,0.6666666666666666,,0.1,,0.6428571428571428
59,,0.5333333333333333,,0.1666666666666666,,0.1666666666666666,,0.1,,0.6428571428571428
60,,0.5333333333333333,,0.1666666666666666,,0.6666666666666666,,0.1,,0.7999999999999999
61,,1.0,,0.0,,0.0,,0.0476190476190476,,0.7575757575757575
62,,1.0,,0.0,,0.0,,0.0476190476190476,,0.7575757575757575
63,,1.0,,0.0,,0.0,,0.0476190476190476,,0.7575757575757575
64,,1.0,,0.0,,0.0,,0.0476190476190476,,0.7575757575757575
65,,1.0,,0.0,,0.0,,0.0476190476190476,,0.7575757575757575
66,,1.0,,0.0,,0.0,,0.0476190476190476,,1.0
67,,1.0,,0.0,,0.0,,0.0476190476190476,,0.7575757575757575
68,,1.0,,0.0,,0.0,,0.0476190476190476,,1.0
69,,1.0,,0.0,,0.0,,0.0476190476190476,,1.0
70,,1.0,,0.0,,0.0,,0.0476190476190476,,1.0
71,,0.0,,1.0,,1.0,,0.0,,1.0
72,,0.0,,1.0,,1.0,,0.0,,1.0
73,,0.0,,1.0,,1.0,,0.0,,1.0
74,,0.0,,1.0,,1.0,,0.0,,1.0
75,,0.0,,1.0,,1.0,,0.0,,1.0
76,,0.0,,1.0,,1.0,,0.0,,1.0
77,,0.0,,1.0,,1.0,,0.0,,1.0
78,,0.0,,1.0,,1.0,,0.0,,1.0
79,,0.0,,1.0,,1.0,,0.0,,1.0
80,,0.0,,1.0,,1.0,,0.0,,1.0
